iter	Passed	Remaining
927	1668	129
928	1671	127
929	1674	126
930	1676	124
931	1679	122
932	1681	120
933	1683	118
934	1686	117
935	1688	115
936	1689	113
937	1692	111
938	1694	110
939	1696	108
940	1699	106
941	1702	104
942	1704	103
943	1705	101
944	1707	99
945	1708	97
946	1710	95
947	1712	93
948	1714	92
949	1715	90
950	1717	88
951	1718	86
952	1720	84
953	1721	83
954	1723	81
955	1725	79
956	1726	77
957	1728	75
958	1729	73
959	1731	72
960	1732	70
961	1734	68
962	1736	66
963	1737	64
964	1739	63
965	1740	61
966	1742	59
967	1743	57
968	1745	55
969	1746	54
970	1748	52
971	1749	50
972	1751	48
973	1752	46
974	1754	44
975	1755	43
976	1757	41
977	1758	39
978	1760	37
979	1761	35
980	1763	34
981	1764	32
982	1766	30
983	1767	28
984	1769	26
985	1771	25
986	1773	23
987	1774	21
988	1776	19
989	1777	17
990	1779	16
991	1780	14
992	1782	12
993	1783	10
994	1785	8
995	1786	7
996	1788	5
997	1789	3
998	1791	1
999	1792	0
